term,lpm_coef,lpm_p
Intercept,-7.556877330685541,0.0
C(race)[T.Asian],0.17277985742246832,3.584906237862148e-07
C(race)[T.Black or African American],0.5877695939395441,5.8311325606129334e-21
C(race)[T.Hispanic or Latino],0.2295915813425268,2.350389142017312e-11
C(race)[T.Other],0.2265881068000973,0.10697315674819019
C(sex)[T.Female],-0.10600304899160921,0.0014417168269230537
C(sex)[T.Joint],-0.18356141730228,5.9217055123419934e-09
dti,0.11519534017269847,2.237929209483523e-287
ltv,0.006618638680169589,4.52000095169747e-10
income_k,0.0003843507878869698,1.8924636028170432e-08
loan_amount_k,-0.0016767811365168566,1.1474068433702397e-45
property_value_k,0.0002933072915791876,2.3383111892391046e-05
